epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,53.4316,0.27676,0.40495,0.80346,0.99661,1,0.995,0.99404,0.19882,0.27769,0.77745,0.000682043,0.000682043,0.000682043
41,54.0212,0.26702,0.39194,0.79129,0.99676,1,0.995,0.99404,0.19421,0.28092,0.77715,0.000671044,0.000671044,0.000671044
42,54.6033,0.2718,0.39546,0.80688,0.99581,1,0.995,0.99434,0.1791,0.2788,0.77492,0.000660045,0.000660045,0.000660045
43,55.167,0.25364,0.37963,0.79564,0.99342,1,0.995,0.99331,0.1785,0.26789,0.77412,0.000649046,0.000649046,0.000649046
44,55.7257,0.26235,0.37858,0.79717,0.99434,1,0.995,0.98833,0.17829,0.26672,0.77401,0.000638047,0.000638047,0.000638047
45,56.2681,0.25071,0.3758,0.79442,0.99522,1,0.995,0.98984,0.16881,0.26958,0.77326,0.000627048,0.000627048,0.000627048
46,56.9154,0.24899,0.36666,0.79213,0.99616,1,0.995,0.99178,0.17075,0.25291,0.77443,0.000616049,0.000616049,0.000616049
47,57.4673,0.23451,0.34962,0.78859,0.99727,1,0.995,0.995,0.15235,0.24118,0.77182,0.000605051,0.000605051,0.000605051
48,58.0277,0.2459,0.35903,0.79417,0.99739,1,0.995,0.99185,0.17731,0.26074,0.77401,0.000594052,0.000594052,0.000594052
49,58.5688,0.25726,0.36799,0.79596,0.99756,1,0.995,0.99439,0.17436,0.26641,0.77355,0.000583053,0.000583053,0.000583053
50,59.1379,0.24495,0.36233,0.79277,0.99736,1,0.995,0.995,0.15881,0.2497,0.77259,0.000572054,0.000572054,0.000572054
51,59.739,0.23564,0.35498,0.79796,0.99722,1,0.995,0.99362,0.15664,0.23794,0.77204,0.000561055,0.000561055,0.000561055
52,60.3014,0.24211,0.34582,0.80073,0.99753,1,0.995,0.9944,0.15581,0.24095,0.77188,0.000550056,0.000550056,0.000550056
53,60.8371,0.23825,0.34608,0.78694,0.99714,1,0.995,0.995,0.1637,0.24502,0.77133,0.000539057,0.000539057,0.000539057
54,61.4001,0.23492,0.3449,0.78674,0.99775,1,0.995,0.99431,0.15237,0.231,0.77166,0.000528058,0.000528058,0.000528058
